m0_report_filter	InnoDB	3270	1.52	2026-01-30 02:19:47	NULL
m0_report_filter_copy1	InnoDB	3076	1.52	2026-01-30 02:20:24	NULL
m0_report_lang	InnoDB	1295	0.17	2026-01-30 02:20:54	NULL
m0_report_new	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_report_temp	InnoDB	78	0.02	2026-01-30 02:21:07	NULL
m0_role	InnoDB	13	0.02	2026-01-30 02:21:07	NULL
m0_role_custom	InnoDB	24	0.03	2026-01-30 02:21:08	NULL
m0_role_item_category	InnoDB	0	0.02	2026-01-30 02:21:08	NULL
m0_role_menu	InnoDB	2172	0.27	2026-01-30 02:21:08	NULL
m0_role_menu_s	InnoDB	1618	0.20	2026-01-30 02:21:30	NULL
m0_role_menu_s_copy1	InnoDB	1758	0.22	2026-01-30 02:21:46	NULL
m0_role_report	InnoDB	1163	0.19	2026-01-30 02:22:03	NULL
m0_role_report_s	InnoDB	1860	0.23	2026-01-30 02:22:15	NULL
m0_role_s	InnoDB	12	0.02	2026-01-30 02:22:33	NULL
m0_search_packet	InnoDB	68	0.02	2026-01-30 02:22:33	NULL
m0_selling_rate	InnoDB	5	0.02	2026-01-30 02:22:34	NULL
m0_sentence	InnoDB	3060	0.19	2026-01-30 02:22:34	NULL
m0_sentence_s	InnoDB	3320	0.19	2026-01-30 02:23:05	NULL
m0_sentence_s_copy1	InnoDB	3265	0.19	2026-01-30 02:24:25	NULL
m0_sentence_stranslate	InnoDB	3034	0.19	2026-01-30 02:23:37	NULL
m0_sentence_stranslate_copy1	InnoDB	1948	0.14	2026-01-30 02:24:07	NULL
m0_sentence_translate	InnoDB	1359	0.11	2026-01-30 02:24:57	NULL
m0_setting	InnoDB	1023	0.17	2026-01-30 02:25:11	NULL
m0_setting_bylang	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_setting_grup	InnoDB	22	0.02	2026-01-30 02:25:22	NULL
m0_setting_lang	InnoDB	269	0.05	2026-01-30 02:25:22	NULL
m0_setting_location	InnoDB	0	0.02	2026-01-30 02:25:25	NULL
m0_setting_s	InnoDB	1017	0.17	2026-01-30 02:25:25	NULL
m0_si	InnoDB	0	0.03	2026-01-30 02:25:36	NULL
m0_si_detail	InnoDB	0	0.06	2026-01-30 02:25:36	NULL
m0_si_pay	InnoDB	0	0.03	2026-01-30 02:25:37	NULL
m0_statistic	InnoDB	77	0.02	2026-01-30 02:25:37	NULL
m0_status	InnoDB	15	0.02	2026-01-30 02:25:38	NULL
m0_status_giro	InnoDB	4	0.02	2026-01-30 02:25:38	NULL
m0_status_progress	InnoDB	3	0.02	2026-01-30 02:25:38	NULL
m0_status_rq	InnoDB	5	0.02	2026-01-30 02:25:38	NULL
m0_struk	InnoDB	10	0.02	2026-01-30 02:25:38	NULL
m0_table_relation	InnoDB	93	0.02	2026-01-30 02:25:38	NULL
m0_table_relation_status	InnoDB	0	0.02	2026-01-30 02:25:39	NULL
m0_translate	InnoDB	1370	0.09	2026-01-30 02:25:39	NULL
m0_user	InnoDB	26	0.08	2026-01-30 02:25:53	NULL
m0_user_branch	InnoDB	0	0.02	2026-01-30 02:26:26	NULL
m0_user_coa	InnoDB	0	0.02	2026-01-30 02:26:26	NULL
m0_user_getdata	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_user_location	InnoDB	0	0.02	2026-01-30 02:26:26	NULL
m0_user_role	InnoDB	30	0.02	2026-01-30 02:26:26	NULL
m0_user_role_s	InnoDB	30	0.02	2026-01-30 02:26:27	NULL
m0_user_v	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_user_warehouse	InnoDB	0	0.02	2026-01-30 02:26:27	NULL
m0_usercustom_new	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_usergrup	InnoDB	0	0.02	2026-01-30 02:25:53	NULL
m0_usergrupmenu	InnoDB	209	0.03	2026-01-30 02:25:53	NULL
m0_userlog	InnoDB	2972	0.39	2026-01-30 02:25:56	NULL
m0_userlog_category	InnoDB	19	0.02	2026-01-30 02:26:26	NULL
m0_userlogerror	InnoDB	0	0.02	2026-01-30 02:26:25	NULL
m0_userlogin	InnoDB	20	0.02	2026-01-30 02:26:25	NULL
m0_userlogin_copy	InnoDB	12	0.02	2026-01-30 02:26:26	NULL
m0_userlogin_v	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_usermodule_new	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_userreport_new	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m0_validitas_data	InnoDB	0	0.02	2026-01-30 02:26:27	NULL
m0_validitas_data_category	InnoDB	19	0.02	2026-01-30 02:26:27	NULL
m0_versi_db	InnoDB	0	0.02	2026-01-30 02:26:28	NULL
m11_kj_cd	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m11_kj_getdata	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
m11_lab_hasil	NULL	NULL	NULL	2026-01-30 02:35:26	NULL
