table_key	menu_label	transaksi_url	data_url	master_url
m4_ap	UM Pembelian (AP)	mod/m4/m4_TransaksiAP.swf	mod/m4/m4_DataAP.swf	
m4_bs	Perbandingan Harga (BS)	mod/m4/m4_TransaksiBS.swf	mod/m4/m4_DataBS.swf	
m4_cs	Lembar Biaya (CS)	mod/m4/m4_TransaksiCS.swf	mod/m4/m4_DataCS.swf	
m4_dnr	Pengiriman Barang Retur (DNR)	mod/m4/m4_TransaksiDNR.swf	mod/m4/m4_DataDNR.swf	
m4_grn	Penerimaan Barang (GRN)	mod/m4/m4_TransaksiGRN.swf	mod/m4/m4_DataGRN.swf	
m4_ipc	Kalkulasi Import (IPC)	mod/m4/m4_TransaksiIPC.swf	mod/m4/m4_DataIPC.swf	
m4_pie	Tukar Faktur (PIE)	mod/m4/m4_TransaksiPIE.swf	mod/m4/m4_DataPIE.swf	
m4_po	Order Pembelian (PO)	mod/m4/m4_TransaksiPO.swf	mod/m4/m4_DataPO.swf	
m4_pp	Hutang Ongkos Kirim (PP)	mod/m4/m4_TransaksiPP.swf	mod/m4/m4_DataPP.swf	
m4_pr	Permintaan Pembelian (PR)	mod/m4/m4_TransaksiPR.swf	mod/m4/m4_DataPR.swf	
m4_prt	Retur Pembelian (PRT)	mod/m4/m4_TransaksiPRT.swf	mod/m4/m4_DataPRT.swf	
m4_rfq	Undangan Penawaran (RFQ)	mod/m4/m4_TransaksiRFQ.swf	mod/m4/m4_DataRFQ.swf	
m4_ri	Invoice Pembelian (PI)	mod/m4/m4_TransaksiRI.swf	mod/m4/m4_DataRI.swf	
m4_rq	Permintaan Penawaran (RQ)	mod/m4/m4_TransaksiRQ.swf	mod/m4/m4_DataRQ.swf	
m4_vp	Pembayaran Hutang (VP)	mod/m4/m4_TransaksiVP.swf	mod/m4/m4_DataVP.swf	
m4_vpp	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_TransaksiVPP.swf	mod/m4/m4_DataVPP.swf	
