m1_patient	0	0.03	empty
m1_patient_category	0	0.05	empty
m1_price_category_detail	0	0.02	empty
m1_price_category_history	0	0.05	empty
m1_production_activity	0	0.05	empty
m1_production_activity_detail	0	0.02	empty
m1_production_activity_detail_history	0	0.02	empty
m1_production_activity_history	0	0.05	empty
m1_production_route	0	0.05	empty
m1_production_route_detail	0	0.02	empty
m1_reference	0	0.05	empty
m1_region	0	0.05	empty
m1_region_history	0	0.05	empty
m1_room	0	0.05	empty
m1_room_history	0	0.05	empty
m1_salesman_category	0	0.05	empty
m1_salesman_category_history	0	0.05	empty
m1_section	0	0.05	empty
m1_section_history	0	0.05	empty
m1_selling_point	0	0.03	empty
m1_selling_point_history	0	0.02	empty
m1_size	0	0.05	empty
m1_subclass	0	0.05	empty
m1_subclass_history	0	0.05	empty
m1_subdepartment	0	0.05	empty
m1_subdepartment_history	0	0.05	empty
m1_subdistrict	0	0.05	empty
m1_subdivision_history	0	0.05	empty
m1_supplier_category	0	0.05	empty
m1_supplier_category_history	0	0.05	empty
m1_transaction_note_detail	0	0.02	empty
m1_transaction_note_detail_history	0	0.02	empty
m1_transaction_note_history	0	0.02	empty
m1_trm	0	0.05	empty
m1_type_sa	0	0.03	empty
m1_type_sa_history	0	0.05	empty
m1_unit_history	0	0.05	empty
m1_upline	0	0.05	empty
m1_vendor_history	0	0.05	empty
m1_village	0	0.05	empty
m1_warehouse_history	0	0.05	empty
m1_working_estimate_history	0	0.05	empty
m2_aj	0	0.03	empty
m2_aj_detail	0	0.03	empty
m2_aj_detail_history	0	0.03	empty
m2_aj_history	0	0.03	empty
m2_bd	0	0.03	empty
m2_bd_detail	0	0.02	empty
m2_bd_detail_history	0	0.02	empty
m2_bd_history	0	0.03	empty
m2_jm	0	0.03	empty
m2_jm_detail	0	0.02	empty
m2_jm_detail_history	0	0.02	empty
m2_jm_history	0	0.03	empty
m2_notes	0	0.02	empty
m2_pengajuan_dana	0	4.19	empty
m2_print	0	0.02	empty
m2_realization_cost_center	0	3.78	empty
m2_realization_division	0	3.78	empty
m2_realization_subdivision	0	3.78	empty
m2_rm_historyjson	0	0.02	empty
m2_template	0	0.02	empty
m2_transaction_journal_history	0	9.45	empty
m2r_analisa_penyusutan	0	0.02	empty
m2r_anggaran	0	0.02	empty
m2r_ap_card	0	0.05	empty
m2r_ap_card_detail	0	0.05	empty
m2r_ap_voucher	0	0.05	empty
m2r_ap_voucher_aging	0	0.05	empty
m2r_ap_voucher_aging_detail	0	0.05	empty
m2r_ap_voucher_detail	0	0.05	empty
m2r_appostage_card	0	0.05	empty
m2r_appostage_voucher	0	0.05	empty
m2r_ar_card	0	0.05	empty
m2r_ar_card_detail	0	0.05	empty
m2r_ar_voucher	0	0.05	empty
m2r_ar_voucher_aging	0	0.05	empty
m2r_ar_voucher_aging_detail	0	0.05	empty
m2r_ar_voucher_detail	0	0.05	empty
m2r_arpostage_card	0	0.05	empty
m2r_arpostage_voucher	0	0.05	empty
m2r_aruskas	0	0.02	empty
m2r_barang_dibawah_margin	0	0.02	empty
m2r_barcode	0	0.02	empty
m2r_batch_pertanggal	0	0.02	empty
m2r_bb_divisi	0	0.02	empty
m2r_bp_card	0	0.05	empty
m2r_bukubesar_akunlawan	0	0.02	empty
m2r_cekfifo	0	0.05	empty
m2r_customer_point	0	0.05	empty
m2r_general_ledger	0	0.05	empty
m2r_general_ledger_detail	0	0.05	empty
m2r_giro_voucher	0	0.09	empty
m2r_giro_voucher_aging	0	0.09	empty
m2r_hpp_produksi	0	0.02	empty
m2r_inventory_aging	0	0.05	empty
m2r_ip_card	0	0.05	empty
m2r_ip_list	0	0.05	empty
m2r_ip_voucher	0	0.05	empty
m2r_item_stock_global	0	0.02	empty
m2r_item_stock_out	0	0.02	empty
m2r_kartu_stok	0	0.05	empty
m2r_kasbank_harian	0	0.05	empty
m2r_komisi_abd	0	0.02	empty
m2r_komisi_limo	0	0.02	empty
m2r_laba_pertahun	0	0.02	empty
m2r_laporan_harian	0	0.02	empty
m2r_laporan_penjualan	0	0.02	empty
m2r_lr_invoice_detail	0	0.02	empty
m2r_lr_invoice_global	0	0.02	empty
m2r_lr_per_hari	0	0.02	empty
m2r_mutasi_keuangan	0	0.02	empty
m2r_mutasi_stok	0	0.05	empty
m2r_mutasi_stok_batch	0	0.05	empty
m2r_mutasi_stok_detail	0	0.05	empty
m2r_mutasi_stok_rekap	0	0.02	empty
m2r_mutasi_stok_sumber	0	0.05	empty
m2r_neraca_mutasi	0	0.02	empty
m2r_neraca_mutasi_detail	0	0.02	empty
m2r_omzet_tagihan	0	0.02	empty
m2r_penjualan	0	0.02	empty
m2r_penjualan_barang_pertgl	0	0.02	empty
m2r_penjualan_per4bulan	0	0.02	empty
m2r_penjualan_perhari_1	0	0.02	empty
m2r_penjualan_perhari_2	0	0.02	empty
m2r_perhitungan_insentive	0	0.02	empty
m2r_perincian_biaya	0	0.02	empty
m2r_persediaan	0	0.02	empty
m2r_persediaan_detail	0	0.05	empty
m2r_posisi_keuangan	0	0.02	empty
m2r_posisi_keuangan_detail	0	0.02	empty
m2r_posisi_keuangan_pertahun	0	0.02	empty
m2r_posisi_keuangan_t	0	0.02	empty
