m0_role_menu_s	rmmenuid	rmmenu	menu	m0_menu	104	alias_exact
m0_role_menu_s	rmmenuid	rmmenu	menu	m0_menu_lang	101	alias_core
m0_role_menu_s	rmmenuid	rmmenu	menu	m0_menu_s	101	alias_core
m0_role_menu_s	rmmoduleid	rmmodule	module	m0_module	104	alias_exact
m0_role_menu_s_copy1	rmmenuid	rmmenu	menu	m0_menu	104	alias_exact
m0_role_menu_s_copy1	rmmenuid	rmmenu	menu	m0_menu_lang	101	alias_core
m0_role_menu_s_copy1	rmmenuid	rmmenu	menu	m0_menu_s	101	alias_core
m0_role_menu_s_copy1	rmmoduleid	rmmodule	module	m0_module	104	alias_exact
m0_role_report	rrmenuid	rrmenu	menu	m0_menu	104	alias_exact
m0_role_report	rrmenuid	rrmenu	menu	m0_menu_lang	101	alias_core
m0_role_report	rrmenuid	rrmenu	menu	m0_menu_s	101	alias_core
m0_role_report	rrmoduleid	rrmodule	module	m0_module	104	alias_exact
m0_role_report_s	rrmenuid	rrmenu	menu	m0_menu	104	alias_exact
m0_role_report_s	rrmenuid	rrmenu	menu	m0_menu_lang	101	alias_core
m0_role_report_s	rrmenuid	rrmenu	menu	m0_menu_s	101	alias_core
m0_role_report_s	rrmoduleid	rrmodule	module	m0_module	104	alias_exact
m0_si	siid	si		m0_si_detail	112	core_match
m0_user	userid	user		users	111	token_match
m0_user	userid	user		m0_user_branch	92	token_match
m0_user	userid	user		m0_user_coa	92	token_match
m0_user_branch	userid	user		m0_user	118	direct_exact
m0_user_branch	userid	user		users	111	token_match
m0_user_branch	userid	user		m0_user_coa	92	token_match
m0_user_coa	userid	user		m0_user	118	direct_exact
m0_user_coa	userid	user		users	111	token_match
m0_user_coa	userid	user		m0_user_branch	92	token_match
m0_user_location	userid	user		m0_user	118	direct_exact
m0_user_location	userid	user		users	111	token_match
m0_user_location	userid	user		m0_user_branch	92	token_match
m0_user_role	userid	user		m0_user	118	direct_exact
m0_user_role	userid	user		users	111	token_match
m0_user_role	userid	user		m0_user_branch	92	token_match
m0_user_role_s	userid	user		m0_user	118	direct_exact
m0_user_role_s	userid	user		users	111	token_match
m0_user_role_s	userid	user		m0_user_branch	92	token_match
m0_user_warehouse	userid	user		m0_user	118	direct_exact
m0_user_warehouse	userid	user		users	111	token_match
m0_user_warehouse	userid	user		m0_user_branch	92	token_match
m0_usergrupmenu	ugmmenuid	ugmmenu	menu	m0_menu	104	alias_exact
