mnmoduleid	mnid	mnname	mnurl	mnidtransaksi	code_from_name	code_from_url	mapped_table	table_exists	mapping_source	notes
4	3	Permintaan Pembelian (PR)	mod/m4/m4_TransaksiPR.swf	0	PR	PR	m4_pr	YES	name_code	
4	4	Lembar Biaya (CS)	mod/m4/m4_TransaksiCS.swf	0	CS	CS	m4_cs	YES	name_code	
4	5	Permintaan Penawaran (RQ)	mod/m4/m4_TransaksiRQ.swf	0	RQ	RQ	m4_rq	YES	name_code	
4	6	Perbandingan Harga (BS)	mod/m4/m4_TransaksiBS.swf	0	BS	BS	m4_bs	YES	name_code	
4	7	Order Pembelian (PO)	mod/m4/m4_TransaksiPO.swf	0	PO	PO	m4_po	YES	name_code	
4	8	UM Pembelian (AP)	mod/m4/m4_TransaksiAP.swf	0	AP	AP	m4_ap	YES	name_code	
4	9	Kalkulasi Import (IPC)	mod/m4/m4_TransaksiIPC.swf	0	IPC	IPC	m4_ipc	YES	name_code	
4	10	Penerimaan Barang (GRN)	mod/m4/m4_TransaksiGRN.swf	0	GRN	GRN	m4_grn	YES	name_code	
4	11	Invoice Pembelian (PI)	mod/m4/m4_TransaksiRI.swf	0	PI	RI	m4_ri	YES	url_code	name_code_not_found;url_used
4	12	Pengiriman Barang Retur (DNR)	mod/m4/m4_TransaksiDNR.swf	0	DNR	DNR	m4_dnr	YES	name_code	
4	13	Retur Pembelian (PRT)	mod/m4/m4_TransaksiPRT.swf	0	PRT	PRT	m4_prt	YES	name_code	
4	14	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_TransaksiVPP.swf	0	VPP	VPP	m4_vpp	YES	name_code	
4	15	Pembayaran Hutang (VP)	mod/m4/m4_TransaksiVP.swf	0	VP	VP	m4_vp	YES	name_code	
4	17	Permintaan Pembelian (PR)	mod/m4/m4_DataPR.swf	3	PR	PR	m4_pr	YES	name_code	
4	18	Lembar Biaya (CS)	mod/m4/m4_DataCS.swf	4	CS	CS	m4_cs	YES	name_code	
4	19	Permintaan Penawaran (RQ)	mod/m4/m4_DataRQ.swf	5	RQ	RQ	m4_rq	YES	name_code	
4	20	Perbandingan Harga (BS)	mod/m4/m4_DataBS.swf	6	BS	BS	m4_bs	YES	name_code	
4	21	Order Pembelian (PO)	mod/m4/m4_DataPO.swf	7	PO	PO	m4_po	YES	name_code	
4	22	UM Pembelian (AP)	mod/m4/m4_DataAP.swf	8	AP	AP	m4_ap	YES	name_code	
4	23	Kalkulasi Import (IPC)	mod/m4/m4_DataIPC.swf	9	IPC	IPC	m4_ipc	YES	name_code	
4	24	Penerimaan Barang (GRN)	mod/m4/m4_DataGRN.swf	10	GRN	GRN	m4_grn	YES	name_code	
4	25	Invoice Pembelian (PI)	mod/m4/m4_DataRI.swf	11	PI	RI	m4_ri	YES	url_code	name_code_not_found;url_used
4	26	Pengiriman Barang Retur (DNR)	mod/m4/m4_DataDNR.swf	12	DNR	DNR	m4_dnr	YES	name_code	
4	27	Retur Pembelian (PRT)	mod/m4/m4_DataPRT.swf	13	PRT	PRT	m4_prt	YES	name_code	
4	28	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_DataVPP.swf	14	VPP	VPP	m4_vpp	YES	name_code	
4	29	Pembayaran Hutang (VP)	mod/m4/m4_DataVP.swf	15	VP	VP	m4_vp	YES	name_code	
4	44	Hutang Ongkos Kirim (PP)	mod/m4/m4_TransaksiPP.swf	0	PP	PP	m4_pp	YES	name_code	
4	45	Data Hutang Ongkos Kirim (PP)	mod/m4/m4_DataPP.swf	44	PP	PP	m4_pp	YES	name_code	
4	49	KPI Purchasing	mod/m4/m4_KPIPurchasing.swf	49				NO		no_direct_mapping
4	51	Saldo Awal Hutang	mod/m4/m4_TransaksiBalance.swf	0		BALANCE		NO		url_code_not_found
4	52	Saldo Awal Hutang	mod/m4/m4_DataBalance.swf	51		BALANCE		NO		url_code_not_found
4	56	Tukar Faktur (PIE)	mod/m4/m4_TransaksiPIE.swf	0	PIE	PIE	m4_pie	YES	name_code	
4	57	Tukar Faktur (PIE)	mod/m4/m4_DataPIE.swf	56	PIE	PIE	m4_pie	YES	name_code	
4	59	Undangan Penawaran (RFQ)	mod/m4/m4_TransaksiRFQ.swf	0	RFQ	RFQ	m4_rfq	YES	name_code	
4	60	Undangan Penawaran (RFQ)	mod/m4/m4_DataRFQ.swf	59	RFQ	RFQ	m4_rfq	YES	name_code	
