mapped_table	menu_rows	transaksi_menu_id	transaksi_menu_name	transaksi_url	data_menu_id	data_menu_name	data_url	master_menu_id	master_menu_name	master_url	all_menu_names
m3_dc	2	41	Time Sheet/Daily Check (DC)	mod/m3/m3_TransaksiDC.swf	43	Time Sheet/Daily Check (DC)	mod/m3/m3_DataDC.swf				Time Sheet/Daily Check (DC) | Time Sheet/Daily Check (DC)
m3_ib	2	23	Saldo Awal Barang (IB)	mod/m3/m3_TransaksiIB.swf	24	Saldo Awal Barang (IB)	mod/m3/m3_DataIB.swf				Saldo Awal Barang (IB) | Saldo Awal Barang (IB)
m3_mr	2	3	Permintaan Barang (MR)	mod/m3/m3_TransaksiMR.swf	10	Permintaan Barang (MR)	mod/m3/m3_DataMR.swf				Permintaan Barang (MR) | Permintaan Barang (MR)
m3_pa	2	8	Set Harga Jual (PA)	mod/m3/m3_TransaksiPA.swf	15	Set Harga Jual (PA)	mod/m3/m3_DataPA.swf				Set Harga Jual (PA) | Set Harga Jual (PA)
m3_rf	2	40	Pengisian Bahan Bakar (RF)	mod/m3/m3_TransaksiRF.swf	42	Pengisian Bahan Bakar (RF)	mod/m3/m3_DataRF.swf				Pengisian Bahan Bakar (RF) | Pengisian Bahan Bakar (RF)
m3_rs	2	5	Terima Mutasi (RS)	mod/m3/m3_TransaksiRS.swf	12	Terima Mutasi (RS)	mod/m3/m3_DataRS.swf				Terima Mutasi (RS) | Terima Mutasi (RS)
m3_rw	2	51	Receipt Weigher (RW)	mod/m3/m3_TransaksiRW.swf	52	Receipt Weigher (RW)	mod/m3/m3_DataRW.swf				Receipt Weigher (RW) | Receipt Weigher (RW)
m3_sa	2	6	Transaksi Barang (SA)	mod/m3/m3_TransaksiSA.swf	13	Transaksi Barang (SA)	mod/m3/m3_DataSA.swf				Transaksi Barang (SA) | Transaksi Barang (SA)
m3_sp	2	7	Stok Opname (SP)	mod/m3/m3_TransaksiSP.swf	14	Stok Opname (SP)	mod/m3/m3_DataSP.swf				Stok Opname (SP) | Stok Opname (SP)
m3_ts	2	4	Mutasi Barang (TS)	mod/m3/m3_TransaksiTS.swf	11	Mutasi Barang (TS)	mod/m3/m3_DataTS.swf				Mutasi Barang (TS) | Mutasi Barang (TS)
