mapped_table	menu_rows	transaksi_menu_id	transaksi_menu_name	transaksi_url	data_menu_id	data_menu_name	data_url	master_menu_id	master_menu_name	master_url	all_menu_names
m4_ap	2	8	UM Pembelian (AP)	mod/m4/m4_TransaksiAP.swf	22	UM Pembelian (AP)	mod/m4/m4_DataAP.swf				UM Pembelian (AP) | UM Pembelian (AP)
m4_bs	2	6	Perbandingan Harga (BS)	mod/m4/m4_TransaksiBS.swf	20	Perbandingan Harga (BS)	mod/m4/m4_DataBS.swf				Perbandingan Harga (BS) | Perbandingan Harga (BS)
m4_cs	2	4	Lembar Biaya (CS)	mod/m4/m4_TransaksiCS.swf	18	Lembar Biaya (CS)	mod/m4/m4_DataCS.swf				Lembar Biaya (CS) | Lembar Biaya (CS)
m4_dnr	2	12	Pengiriman Barang Retur (DNR)	mod/m4/m4_TransaksiDNR.swf	26	Pengiriman Barang Retur (DNR)	mod/m4/m4_DataDNR.swf				Pengiriman Barang Retur (DNR) | Pengiriman Barang Retur (DNR)
m4_grn	2	10	Penerimaan Barang (GRN)	mod/m4/m4_TransaksiGRN.swf	24	Penerimaan Barang (GRN)	mod/m4/m4_DataGRN.swf				Penerimaan Barang (GRN) | Penerimaan Barang (GRN)
m4_ipc	2	9	Kalkulasi Import (IPC)	mod/m4/m4_TransaksiIPC.swf	23	Kalkulasi Import (IPC)	mod/m4/m4_DataIPC.swf				Kalkulasi Import (IPC) | Kalkulasi Import (IPC)
m4_pie	2	56	Tukar Faktur (PIE)	mod/m4/m4_TransaksiPIE.swf	57	Tukar Faktur (PIE)	mod/m4/m4_DataPIE.swf				Tukar Faktur (PIE) | Tukar Faktur (PIE)
m4_po	2	7	Order Pembelian (PO)	mod/m4/m4_TransaksiPO.swf	21	Order Pembelian (PO)	mod/m4/m4_DataPO.swf				Order Pembelian (PO) | Order Pembelian (PO)
m4_pp	2	44	Hutang Ongkos Kirim (PP)	mod/m4/m4_TransaksiPP.swf	45	Data Hutang Ongkos Kirim (PP)	mod/m4/m4_DataPP.swf				Hutang Ongkos Kirim (PP) | Data Hutang Ongkos Kirim (PP)
m4_pr	2	3	Permintaan Pembelian (PR)	mod/m4/m4_TransaksiPR.swf	17	Permintaan Pembelian (PR)	mod/m4/m4_DataPR.swf				Permintaan Pembelian (PR) | Permintaan Pembelian (PR)
m4_prt	2	13	Retur Pembelian (PRT)	mod/m4/m4_TransaksiPRT.swf	27	Retur Pembelian (PRT)	mod/m4/m4_DataPRT.swf				Retur Pembelian (PRT) | Retur Pembelian (PRT)
m4_rfq	2	59	Undangan Penawaran (RFQ)	mod/m4/m4_TransaksiRFQ.swf	60	Undangan Penawaran (RFQ)	mod/m4/m4_DataRFQ.swf				Undangan Penawaran (RFQ) | Undangan Penawaran (RFQ)
m4_ri	2	11	Invoice Pembelian (PI)	mod/m4/m4_TransaksiRI.swf	25	Invoice Pembelian (PI)	mod/m4/m4_DataRI.swf				Invoice Pembelian (PI) | Invoice Pembelian (PI)
m4_rq	2	5	Permintaan Penawaran (RQ)	mod/m4/m4_TransaksiRQ.swf	19	Permintaan Penawaran (RQ)	mod/m4/m4_DataRQ.swf				Permintaan Penawaran (RQ) | Permintaan Penawaran (RQ)
m4_vp	2	15	Pembayaran Hutang (VP)	mod/m4/m4_TransaksiVP.swf	29	Pembayaran Hutang (VP)	mod/m4/m4_DataVP.swf				Pembayaran Hutang (VP) | Pembayaran Hutang (VP)
m4_vpp	2	14	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_TransaksiVPP.swf	28	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_DataVPP.swf				Rencana Pembayaran Hutang (VPP) | Rencana Pembayaran Hutang (VPP)
