m5_spa_history	spaid	spa	m5_spa	96	same_prefix_exact
m5_sq_history	sqid	sq	m5_sq	96	same_prefix_exact
m5_sr_history	srid	sr	m5_sr	96	same_prefix_exact
m6_bom_history	bomid	bom	m6_bom	96	same_prefix_exact
m6_mrn_history	mrnid	mrn	m6_mrn	96	same_prefix_exact
m6_mrs_history	mrsid	mrs	m6_mrs	96	same_prefix_exact
m6_pd_history	pdid	pd	m6_pd	96	same_prefix_exact
m6_pdr_history	pdrid	pdr	m6_pdr	96	same_prefix_exact
m6_wo_history	woid	wo	m6_wo	96	same_prefix_exact
m7_asset_transaction	atid	at	m7_at	96	same_prefix_exact
m7_asset_transaction_history	atid	at	m7_at	96	same_prefix_exact
meetingagendarelevant	ContactId	contact	contacts	92	plural_exact
meetingagendas	MeetingId	meeting	meetings	92	plural_exact
meetingattendees	ContactId	contact	contacts	92	plural_exact
meetingattendees	MeetingId	meeting	meetings	92	plural_exact
meetingdecisionrelevant	ContactId	contact	contacts	92	plural_exact
meetingdecisions	MeetingId	meeting	meetings	92	plural_exact
meetings	MeetingTypeId	meetingtype	meetingtypes	92	plural_exact
rolepermissions	RoleId	role	roles	92	plural_exact
userpermissions	UserId	user	users	92	plural_exact
userpreferences	UserId	user	users	92	plural_exact
userroles	RoleId	role	roles	92	plural_exact
userroles	UserId	user	users	92	plural_exact
