meetingdecisionrelevant	ContactId	contact	contacts	92	plural_exact
meetingdecisions	MeetingId	meeting	meetings	92	plural_exact
meetings	MeetingTypeId	meetingtype	meetingtypes	92	plural_exact
rolepermissions	RoleId	role	roles	92	plural_exact
userpermissions	UserId	user	users	92	plural_exact
userpreferences	UserId	user	users	92	plural_exact
userroles	RoleId	role	roles	92	plural_exact
userroles	UserId	user	users	92	plural_exact
m0_config	cid	c	m0_statistic	87	suffix_match
m0_dashboardmail	did	d	m0_nomor_next_failed	87	suffix_match
m0_dashboardmail	did	d	m0_payment_method	87	suffix_match
m0_export	eid	e	m0_global_allowance	87	suffix_match
m0_export	eid	e	m0_hppaverage	87	suffix_match
m0_export	eid	e	m0_language	87	suffix_match
m0_module	mid	m	m0_permissions_custom	87	suffix_match
m0_module	mid	m	m0_role_custom	87	suffix_match
m0_nomor	menuid	menu	m0_role_menu	87	suffix_match
m0_nomor	menuid	menu	m0_usergrupmenu	87	suffix_match
m0_notifikasi_email	menuid	menu	m0_role_menu	87	suffix_match
m0_notifikasi_email	menuid	menu	m0_usergrupmenu	87	suffix_match
m0_report	rid	r	m0_nomor	87	suffix_match
m0_report	rid	r	m0_report_filter	87	suffix_match
m0_report	rid	r	m0_user	87	suffix_match
m0_report_copy	rid	r	m0_nomor	87	suffix_match
m0_report_copy	rid	r	m0_report_filter	87	suffix_match
m0_report_copy	rid	r	m0_user	87	suffix_match
m0_sentence	sid	s	m0_menu_s	87	suffix_match
m0_sentence	sid	s	m0_msmq_cogs	87	suffix_match
m0_sentence	sid	s	m0_role_menu_s	87	suffix_match
m0_sentence_s	sid	s	m0_menu_s	87	suffix_match
m0_sentence_s	sid	s	m0_msmq_cogs	87	suffix_match
m0_sentence_s	sid	s	m0_role_menu_s	87	suffix_match
m0_sentence_s_copy1	sid	s	m0_menu_s	87	suffix_match
m0_sentence_s_copy1	sid	s	m0_msmq_cogs	87	suffix_match
m0_sentence_s_copy1	sid	s	m0_role_menu_s	87	suffix_match
m0_si	siid	si	m0_jenismutasi	87	suffix_match
m0_statistic	sid	s	m0_menu_s	87	suffix_match
m0_statistic	sid	s	m0_msmq_cogs	87	suffix_match
m0_statistic	sid	s	m0_role_menu_s	87	suffix_match
m1_coa	cid	c	m1_item_c	87	suffix_match
m1_coa_copy1	cid	c	m1_item_c	87	suffix_match
m1_coa_history	cid	c	m1_item_c	87	suffix_match
m1_colleague	cid	c	m1_item_c	87	suffix_match
m1_contact	kid	k	m1_bank	87	suffix_match
m1_contact	kid	k	m1_merk	87	suffix_match
m1_contact_attention	kaid	a	m1_area	87	suffix_match
m1_contact_attention	kaid	a	m1_coa	87	suffix_match
m1_contact_attention	kaid	a	m1_type_sa	87	suffix_match
m1_contact_attention_history	kaid	a	m1_area	87	suffix_match
m1_contact_attention_history	kaid	a	m1_coa	87	suffix_match
m1_contact_attention_history	kaid	a	m1_type_sa	87	suffix_match
m1_contact_copy	kid	k	m1_bank	87	suffix_match
m1_contact_copy	kid	k	m1_merk	87	suffix_match
m1_contact_history	kid	k	m1_bank	87	suffix_match
m1_contact_history	kid	k	m1_merk	87	suffix_match
m1_contact_tmp	kid	k	m1_bank	87	suffix_match
m1_contact_tmp	kid	k	m1_merk	87	suffix_match
m1_item_location	ilid	il	m1_commission_detail	87	suffix_match
m1_item_location	ilid	il	m1_price_category_detail	87	suffix_match
m1_item_location	ilid	il	m1_production_activity_detail	87	suffix_match
m1_item_location_history	ilid	il	m1_commission_detail	87	suffix_match
m1_item_location_history	ilid	il	m1_price_category_detail	87	suffix_match
m1_item_location_history	ilid	il	m1_production_activity_detail	87	suffix_match
m1_notes	nid	n	m1_cogs_fifo_in	87	suffix_match
m1_notes	nid	n	m1_cogs_special_in	87	suffix_match
