mnmoduleid	mnid	mnname	mnurl	mnidtransaksi	code_from_name	code_from_url	mapped_table	table_exists	mapping_source	notes
3	3	Permintaan Barang (MR)	mod/m3/m3_TransaksiMR.swf	0	MR	MR	m3_mr	YES	name_code	
3	4	Mutasi Barang (TS)	mod/m3/m3_TransaksiTS.swf	0	TS	TS	m3_ts	YES	name_code	
3	5	Terima Mutasi (RS)	mod/m3/m3_TransaksiRS.swf	0	RS	RS	m3_rs	YES	name_code	
3	6	Transaksi Barang (SA)	mod/m3/m3_TransaksiSA.swf	0	SA	SA	m3_sa	YES	name_code	
3	7	Stok Opname (SP)	mod/m3/m3_TransaksiSP.swf	0	SP	SP	m3_sp	YES	name_code	
3	8	Set Harga Jual (PA)	mod/m3/m3_TransaksiPA.swf	0	PA	PA	m3_pa	YES	name_code	
3	10	Permintaan Barang (MR)	mod/m3/m3_DataMR.swf	3	MR	MR	m3_mr	YES	name_code	
3	11	Mutasi Barang (TS)	mod/m3/m3_DataTS.swf	4	TS	TS	m3_ts	YES	name_code	
3	12	Terima Mutasi (RS)	mod/m3/m3_DataRS.swf	5	RS	RS	m3_rs	YES	name_code	
3	13	Transaksi Barang (SA)	mod/m3/m3_DataSA.swf	6	SA	SA	m3_sa	YES	name_code	
3	14	Stok Opname (SP)	mod/m3/m3_DataSP.swf	7	SP	SP	m3_sp	YES	name_code	
3	15	Set Harga Jual (PA)	mod/m3/m3_DataPA.swf	8	PA	PA	m3_pa	YES	name_code	
3	23	Saldo Awal Barang (IB)	mod/m3/m3_TransaksiIB.swf	0	IB	IB	m3_ib	YES	name_code	
3	24	Saldo Awal Barang (IB)	mod/m3/m3_DataIB.swf	23	IB	IB	m3_ib	YES	name_code	
3	31	KPI Warehouse	mod/m3/m3_KPIWarehouse.swf	31				NO		no_direct_mapping
3	40	Pengisian Bahan Bakar (RF)	mod/m3/m3_TransaksiRF.swf	0	RF	RF	m3_rf	YES	name_code	
3	41	Time Sheet/Daily Check (DC)	mod/m3/m3_TransaksiDC.swf	0	DC	DC	m3_dc	YES	name_code	
3	42	Pengisian Bahan Bakar (RF)	mod/m3/m3_DataRF.swf	40	RF	RF	m3_rf	YES	name_code	
3	43	Time Sheet/Daily Check (DC)	mod/m3/m3_DataDC.swf	41	DC	DC	m3_dc	YES	name_code	
3	51	Receipt Weigher (RW)	mod/m3/m3_TransaksiRW.swf	0	RW	RW	m3_rw	YES	name_code	
3	52	Receipt Weigher (RW)	mod/m3/m3_DataRW.swf	51	RW	RW	m3_rw	YES	name_code	
3	54	Data Kartu Barang Serial	mod/m3/m3_DataKartuStokSerial.swf	54		KARTUSTOKSERIAL		NO		url_code_not_found
