mnmoduleid	mnid	mnname	mnurl	mnidtransaksi	code_from_name	code_from_url	mapped_table	table_exists	mapping_source	notes
2	13	Revaluasi Valas (RV)	mod/m2/m2_TransaksiRV.swf	0	RV	RV		NO		name_code_not_found;url_code_not_found
2	26	Revaluasi Valas (RV)	mod/m2/m2_DataRV.swf	13	RV	RV		NO		name_code_not_found;url_code_not_found
2	88	KPI FA	mod/m2/m2_KPIFA.swf	88				NO		no_direct_mapping
2	94	Buku Besar	mod/m2/m2_DataBukuBesar.swf	94		BUKUBESAR		NO		url_code_not_found
2	95	Data Jurnal	mod/m2/m2_DataJournal.swf	95		JOURNAL		NO		url_code_not_found
2	96	Data Transaksi Barang	mod/m2/m2_DataItemTransaction.swf	96		ITEMTRANSACTION		NO		url_code_not_found
2	97	Buku Besar Per Kontak	mod/m2/m2_DataBukuBesarPerKontak.swf	97		BUKUBESARPERKONTAK		NO		url_code_not_found
2	100	Data Giro Masuk	mod/m2/m2_DataGiroMasuk.swf	100		GIROMASUK		NO		url_code_not_found
2	101	Data Giro Keluar	mod/m2/m2_DataGiroKeluar.swf	101		GIROKELUAR		NO		url_code_not_found
