4	3	Permintaan Pembelian (PR)	mod/m4/m4_TransaksiPR.swf	0
4	4	Lembar Biaya (CS)	mod/m4/m4_TransaksiCS.swf	0
4	5	Permintaan Penawaran (RQ)	mod/m4/m4_TransaksiRQ.swf	0
4	6	Perbandingan Harga (BS)	mod/m4/m4_TransaksiBS.swf	0
4	7	Order Pembelian (PO)	mod/m4/m4_TransaksiPO.swf	0
4	8	UM Pembelian (AP)	mod/m4/m4_TransaksiAP.swf	0
4	9	Kalkulasi Import (IPC)	mod/m4/m4_TransaksiIPC.swf	0
4	10	Penerimaan Barang (GRN)	mod/m4/m4_TransaksiGRN.swf	0
4	11	Invoice Pembelian (PI)	mod/m4/m4_TransaksiRI.swf	0
4	12	Pengiriman Barang Retur (DNR)	mod/m4/m4_TransaksiDNR.swf	0
4	13	Retur Pembelian (PRT)	mod/m4/m4_TransaksiPRT.swf	0
4	14	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_TransaksiVPP.swf	0
4	15	Pembayaran Hutang (VP)	mod/m4/m4_TransaksiVP.swf	0
4	17	Permintaan Pembelian (PR)	mod/m4/m4_DataPR.swf	3
4	18	Lembar Biaya (CS)	mod/m4/m4_DataCS.swf	4
4	19	Permintaan Penawaran (RQ)	mod/m4/m4_DataRQ.swf	5
4	20	Perbandingan Harga (BS)	mod/m4/m4_DataBS.swf	6
4	21	Order Pembelian (PO)	mod/m4/m4_DataPO.swf	7
4	22	UM Pembelian (AP)	mod/m4/m4_DataAP.swf	8
4	23	Kalkulasi Import (IPC)	mod/m4/m4_DataIPC.swf	9
4	24	Penerimaan Barang (GRN)	mod/m4/m4_DataGRN.swf	10
4	25	Invoice Pembelian (PI)	mod/m4/m4_DataRI.swf	11
4	26	Pengiriman Barang Retur (DNR)	mod/m4/m4_DataDNR.swf	12
4	27	Retur Pembelian (PRT)	mod/m4/m4_DataPRT.swf	13
4	28	Rencana Pembayaran Hutang (VPP)	mod/m4/m4_DataVPP.swf	14
4	29	Pembayaran Hutang (VP)	mod/m4/m4_DataVP.swf	15
4	44	Hutang Ongkos Kirim (PP)	mod/m4/m4_TransaksiPP.swf	0
4	45	Data Hutang Ongkos Kirim (PP)	mod/m4/m4_DataPP.swf	44
4	49	KPI Purchasing	mod/m4/m4_KPIPurchasing.swf	49
4	51	Saldo Awal Hutang	mod/m4/m4_TransaksiBalance.swf	0
4	52	Saldo Awal Hutang	mod/m4/m4_DataBalance.swf	51
4	56	Tukar Faktur (PIE)	mod/m4/m4_TransaksiPIE.swf	0
4	57	Tukar Faktur (PIE)	mod/m4/m4_DataPIE.swf	56
4	59	Undangan Penawaran (RFQ)	mod/m4/m4_TransaksiRFQ.swf	0
4	60	Undangan Penawaran (RFQ)	mod/m4/m4_DataRFQ.swf	59
