table_key	menu_label	transaksi_url	data_url	master_url
m5_as	UM Penjualan (AS)	mod/m5/m5_TransaksiAS.swf	mod/m5/m5_DataAS.swf	
m5_cl	Complain (CL)	mod/m5/m5_TransaksiCL.swf	mod/m5/m5_DataCL.swf	
m5_do	Pengiriman Order (DO)	mod/m5/m5_TransaksiDO.swf	mod/m5/m5_DataDO.swf	
m5_dr	Hasil Pengiriman Order (DR)	mod/m5/m5_TransaksiDR.swf	mod/m5/m5_DataDR.swf	
m5_ic	Penagihan Piutang (IC)	mod/m5/m5_TransaksiIC.swf	mod/m5/m5_DataIC.swf	
m5_ip	Terima Pembayaran (IP)	mod/m5/m5_TransaksiIP.swf	mod/m5/m5_DataIP.swf	
m5_pi	Invoice Sementara (PI)	mod/m5/m5_TransaksiPI.swf	mod/m5/m5_DataPI.swf	
m5_pl	Packing Barang (PL)	mod/m5/m5_TransaksiPL.swf	mod/m5/m5_DataPL.swf	
m5_pv	Pembayaran Piutang (PV)	mod/m5/m5_TransaksiPV.swf	mod/m5/m5_DataPV.swf	
m5_rnr	Penerimaan Barang Retur (RNR)	mod/m5/m5_TransaksiRNR.swf	mod/m5/m5_DataRNR.swf	
m5_rp	Piutang Ongkos Kirim (RP)	mod/m5/m5_TransaksiRP.swf	mod/m5/m5_DataRP.swf	
m5_si	Invoice Penjualan (SI)	mod/m5/m5_TransaksiSI.swf	mod/m5/m5_DataSI.swf	
m5_sie	Tukar Faktur Penjualan (SIE)	mod/m5/m5_TransaksiSIE.swf	mod/m5/m5_DataSIE.swf	
m5_so	Order Penjualan (SO)	mod/m5/m5_TransaksiSO.swf	mod/m5/m5_DataSO.swf	
m5_spa	Penyesuaian Poin Penjualan (SPA)	mod/m5/m5_TransaksiSPA.swf	mod/m5/m5_DataSPA.swf	
m5_sq	Penawaran Penjualan (SQ)	mod/m5/m5_TransaksiSQ.swf	mod/m5/m5_DataSQ.swf	
m5_sr	Retur Penjualan (SR)	mod/m5/m5_TransaksiSR.swf	mod/m5/m5_DataSR.swf	
