m13_school_year	sykode	2	0	0
m13_school_year_history	syidhistory	2	0	0
m13_si	siid	0	0	0
m13_si_history	siidhistory	0	0	0
m13_student_category	scid	3	0	0
m13_student_category_billing		2	0	0
m13_student_category_billing_history		0	0	0
m13_student_category_history	scidhistory	0	0	0
m13_student_status	sskode	2	0	0
m13_student_status_history	ssidhistory	2	0	0
m13_study_program	spkode	2	0	0
m13_study_program_history	spidhistory	0	0	0
m14_account	anorek	1	0	0
m14_account_history	aidhistory	1	0	0
m14_ang	angid,angisclose	0	0	0
m14_ang_detail	idangdetail,isclose	2	0	0
m14_ang_detail_bayar		1	0	0
m14_collateral	akode	2	0	0
m14_collateral_history	aidhistory	2	0	0
m14_deposit	skode	2	0	0
m14_deposit_history	sidhistory	2	0	0
m14_loan	pkode	2	0	0
m14_loan_history	pidhistory	2	0	0
m14_pjm	pjmid,pjmisclose	1	0	0
m14_pjm_agunan		1	0	0
m14_pjm_angsuran		0	0	0
m14_pjm_detail	idpjmdetail,isclose	2	0	0
m14_pjm_detail_bayar		1	0	0
m14_smp	smpid,smpisclose	1	0	0
m14_smp_detail	idsmpdetail,isclose	2	0	0
m14_smp_detail_bayar		1	0	0
m1_accident	akode	2	0	0
m1_accident_history	aidhistory	2	0	0
m1_area	akode	2	0	0
m1_area_history	aidhistory	2	0	0
m1_bank	bkode	2	0	0
m1_bank_history	bidhistory	2	0	0
m1_bed	bkode	2	0	0
m1_bed_history	bidhistory	2	0	0
m1_branch	bkode	2	0	0
m1_branch_history	bidhistory	2	0	0
m1_checking_category	ccid	1	0	0
m1_checking_category_history	ccidhistory	2	0	0
m1_city	ckode	2	0	0
m1_city_history	cidhistory	2	0	0
m1_class	ckode	2	0	0
m1_class_history	cidhistory	2	0	0
m1_class_product	cpkode	2	0	0
m1_class_product_history	cpidhistory	2	0	0
m1_coa	cid	10	0	0
m1_coa_copy1	cid	10	0	0
m1_coa_history	cidhistory	10	0	0
m1_cogs_fifo_in	cfiid	6	0	0
m1_cogs_fifo_out	cfoid	4	0	0
m1_cogs_special_in	idhppikm	4	0	0
m1_cogs_special_out	idhppikk	5	0	0
m1_colleague	cid	0	0	0
m1_color	ckode	2	0	0
m1_color_history	cidhistory	2	0	0
m1_commission	kmkode	1	0	0
m1_commission_detail	kmdiddetail	0	0	0
m1_commission_detail_history	kmdidhistorydetail	0	0	0
m1_commission_history	kmidhistory	1	0	0
m1_contact	kid	10	0	0
m1_contact_attention	kaid	1	0	0
m1_contact_attention_history	kaidhistory	1	0	0
m1_contact_category	cckode	2	0	0
m1_contact_category_history	ccidhistory	2	0	0
m1_contact_comment	idcc	2	0	0
m1_contact_comment_history	idhistory	2	0	0
m1_contact_commission	kkmkodekontak,kkmkodekomisi	2	0	0
m1_contact_copy	kid	10	0	0
m1_contact_expedition	ktidkontak,kttipeinvoice	0	0	0
m1_contact_files	idkontak,namafile	3	0	0
m1_contact_history	kidhistory	10	0	0
m1_contact_point	cpidkontak	0	0	0
m1_contact_price	khidkontak,khidbarang	0	0	0
m1_contact_price_copy	khidkontak,khidbarang	0	0	0
m1_contact_price_history	khidhistory	0	0	0
m1_contact_terms	ktidkontak,kttipeinvoice	0	0	0
m1_contact_tmp	kid	0	0	0
m1_cost_center	cckode	2	0	0
m1_cost_center_history	ccidhistory	2	0	0
m1_country	ckode	2	0	0
m1_country_history	cidhistory	2	0	0
m1_currency	ckode	2	0	0
m1_currency_history	cidhistory	2	0	0
m1_customer_category	cckode	2	0	0
m1_customer_category_history	ccidhistory	2	0	0
m1_department	dpkode	2	0	0
m1_department_history	dpidhistory	2	0	0
m1_designer	dkode	2	0	0
m1_designer_history	didhistory	2	0	0
m1_diagnosis	dkode	2	0	0
m1_division	dkode	2	0	0
m1_division_history	didhistory	2	0	0
m1_expedition	ekode	0	0	0
m1_expedition_history	eidhistory	0	0	0
m1_files	fsumber,fnamafile	0	0	0
m1_files_copy	fsumber,fnamafile	0	0	0
m1_icd	iid	1	0	0
m1_icd_history	iidhistory	2	0	0
m1_index_price	ipkode	2	0	0
m1_index_price_history	ipidhistory	2	0	0
m1_insurer	iid	2	0	0
m1_item	bid	16	0	0
m1_item2	bid	16	0	0
m1_item_assembly	iaidbarang,iaurutan	0	0	0
m1_item_assembly_history	iaidhistory	0	0	0
m1_item_booking	idbarang	0	0	0
m1_item_booking_po	idbarang	0	0	0
m1_item_branch_costcenter	ibcid	2	0	0
m1_item_c	bid	16	0	0
m1_item_category	ickode	2	0	0
m1_item_category_history	icidhistory	2	0	0
m1_item_copy1	bid	16	0	0
m1_item_copy2	bid	16	0	0
m1_item_description	ididbarang,idkode,idurutan	2	0	0
m1_item_flex	bid	16	0	0
m1_item_hauling	bid	16	0	0
m1_item_hauling_history	bidhistory	16	0	0
m1_item_history	bidhistory	16	0	0
m1_item_location	ilid	3	0	0
m1_item_location_history	ilidhistory	3	0	0
m1_item_location_warehouse		2	0	0
m1_item_location_warehouse_history	blgidhistory	2	0	0
m1_item_permission	ipkode	0	0	0
m1_item_permission_history	ipidhistory	0	0	0
m1_item_picking_list	idbarang,gudang	0	0	0
m1_item_price	khidbarang,khmatauang	0	0	0
m1_item_price_history	khidhistory	0	0	0
m1_item_stock_warehouse	idbarang,kgudang	0	0	0
m1_item_stock_warehouse_log	id	0	0	0
m1_item_supplier	isidbarang,isidkontak	2	0	0
m1_item_supplier_history	isidhistory	2	0	0
m1_item_transaction	id,kodepa	8	0	0
