meetingattendees	AttendeeId
meetingdecisionrelevant	DecisionRelevantId
meetingdecisions	DecisionId
meetingdecisions	ResponsibleContactId
meetings	MeetingId
meetings	MeetingGuid
meetings	OrganizerContactId
meetings	ReporterContactId
meetingtypes	MeetingTypeId
rk_tmp	rkid
ro_tmp	roid
rolepermissions	RolePermissionId
term_hierarchy_backup	tid
test	bid
userpermissions	UserPermissionId
userpreferences	UserPreferenceId
userroles	UserRoleId
