0_stokmaret2018	jml	double	double	1949	medium	avg
0_stokmaret2018	hpp	double	double	1949	medium	avg
m0_sentence_stranslate_copy1	stid	bigint	bigint	1948	medium	sum,count,avg
m0_sentence_stranslate_copy1	stsentence	bigint	bigint	1948	medium	sum,count,avg
m0_role_report_s	rrmoduleid	bigint	bigint	1860	medium	sum,count,avg
m0_role_report_s	rrmenuid	bigint	bigint	1860	medium	sum,count,avg
m0_role_report_s	rritem	int	int	1860	medium	sum,count,avg
m0_role_menu_s_copy1	rmid	bigint	bigint	1758	medium	sum,count,avg
m0_role_menu_s_copy1	rmmoduleid	bigint	bigint unsigned	1758	medium	sum,count,avg
m0_role_menu_s_copy1	rmmenuid	bigint	bigint unsigned	1758	medium	sum,count,avg
m0_role_menu_s	rmid	bigint	bigint	1618	medium	sum,count,avg
m0_role_menu_s	rmmoduleid	bigint	bigint unsigned	1618	medium	sum,count,avg
m0_role_menu_s	rmmenuid	bigint	bigint unsigned	1618	medium	sum,count,avg
m0_translate	tsentence	bigint	bigint	1370	medium	sum,count,avg
m0_sentence_translate	stid	bigint	bigint	1359	medium	sum,count,avg
m0_sentence_translate	stsentence	bigint	bigint	1359	medium	sum,count,avg
m0_report_lang	rlrid	bigint	bigint	1295	medium	sum,count,avg
m0_report_lang	rlrmoduleid	bigint	bigint	1295	medium	sum,count,avg
m0_report_lang	rlrmenuid	bigint	bigint	1295	medium	sum,count,avg
m0_report_lang	rlritem	int	int	1295	medium	sum,count,avg
0_saldoawal	hpp	double	double	1284	medium	avg
m2_transaction_journal	tid	bigint	bigint	1214	medium	sum,count,avg
m2_transaction_journal	tkodetabelangka	int	int	1214	medium	sum,count,avg
m2_transaction_journal	tidtransaksi	bigint	bigint	1214	medium	sum,count,avg
m2_transaction_journal	tkodepa	bigint	bigint	1214	medium	sum,count,avg
m2_transaction_journal	tkontak	bigint	bigint	1214	medium	sum,count,avg
m2_transaction_journal	tkurs	double	double	1214	medium	avg
m2_transaction_journal	tdebit	double	double	1214	medium	avg
m2_transaction_journal	tkredit	double	double	1214	medium	avg
m2_transaction_journal	tdebitvalas	double	double	1214	medium	avg
m2_transaction_journal	tkreditvalas	double	double	1214	medium	avg
m2_transaction_journal	turutan	int	int	1214	medium	sum,count,avg
m2_transaction_journal	tjmlrealisasium	double	double	1214	medium	avg
m2_transaction_journal	tjmlrevisi	int	int	1214	medium	sum,count,avg
m2_transaction_journal	tinputuser	bigint	bigint	1214	medium	sum,count,avg
m2_transaction_journal	tmodifikasiuser	bigint	bigint	1214	medium	sum,count,avg
m0_report	rid	bigint	bigint	1192	medium	sum,count,avg
m0_report	rmoduleid	bigint	bigint	1192	medium	sum,count,avg
