m_10_ad_detail	m	0	0	4	1
m_10_al	m	0	0	4	1
m_10_at	m	0	0	4	1
m_10_at_detail	m	0	0	4	0
m_10_crn	m	0	0	4	1
m_10_crn_detail	m	0	0	4	0
m_10_em_detail	m	0	0	4	0
m_10_emr_detail	m	0	0	4	0
m_10_ep	m	0	0	4	1
m_10_erg	m	0	0	4	2
m_10_et	m	0	0	4	1
m_10_ets_detail	m	0	0	4	0
m_10_pc_detail	m	0	0	4	0
m_10_pe	m	0	0	4	1
m_10_pe_detail	m	0	0	4	0
m_10_rem_detail	m	0	0	4	0
m_10_wt	m	0	0	4	2
m_10_attendance_status	m	0	0	3	0
m_10_cn	m	0	0	3	1
m_10_em	m	0	0	3	2
m_10_emr	m	0	0	3	3
m_10_ets	m	0	0	3	3
m_10_non_taxable_income	m	0	0	3	0
m_10_rem	m	0	0	3	1
m_10_sc	m	0	0	3	3
m_10_sc_detail	m	0	0	3	0
m_10_service_provider	m	0	0	3	0
m_10_ss	m	0	0	3	1
m_10_ss_detail	m	0	0	3	0
m_10_wtdetail	m	0	0	3	0
m_12_pos_setting	m	26	0	2	0
m_10_benefit _and_deduction	m	0	0	2	0
m_10_department	m	0	0	2	0
m_10_education	m	0	0	2	0
m_10_employee_category	m	0	0	2	0
m_10_employee_type	m	0	0	2	0
m_10_grade_and_payroll_level	m	0	0	2	0
m_10_job_test_type	m	0	0	2	0
m_10_leave_type	m	0	0	2	0
m_10_position	m	0	0	2	0
m_10_shift	m	0	0	2	0
m_10_termination_type	m	0	0	2	0
m_12_pos_category_setting	m	26	0	1	0
m_10_leave_setting	m	0	0	1	0
m_12_pos_promo	m	0	0	1	0
m_12_pos_type_class_product_history	m	0	0	1	0
m_coba	m	0	0	1	0
m_10_benefits_setting	m	0	0	0	0
m_12_pos_type_class_product	m	0	0	0	0
m0_si	m0	0	0	53	9
m0_config	m0	0	0	29	0
m0_si_detail	m0	0	0	29	3
m0_hppaverage	m0	747	0	27	0
m0_hppsaldo	m0	0	0	27	0
m0_msmq	m0	1009	0	10	0
m0_report_filter	m0	3270	0	7	0
m0_report_filter_copy1	m0	3076	0	7	0
m0_report	m0	1192	0	7	0
m0_report_copy	m0	1069	0	7	0
m0_menu	m0	843	0	6	1
m0_export	m0	0	0	6	0
m0_si_pay	m0	0	0	6	0
m0_hitungulang_log	m0	7655	0	5	1
m0_userlog	m0	2972	0	5	0
m0_labarugi	m0	42	0	5	0
m0_report_lang	m0	1295	0	4	0
m0_menu_s_copy1	m0	400	0	4	1
m0_menu_s	m0	338	0	4	1
m0_dashboardmail	m0	140	0	4	0
m0_notifikasi_email	m0	0	0	4	2
m0_role_report_s	m0	1860	0	3	0
m0_role_menu_s_copy1	m0	1758	0	3	0
m0_role_menu_s	m0	1618	0	3	0
m0_role_report	m0	1163	0	3	0
m0_msmq_journal	m0	371	0	3	0
m0_msmq_cogs	m0	253	0	3	0
m0_usergrupmenu	m0	209	0	3	0
m0_user	m0	26	0	3	0
m0_global_allowance	m0	3	0	3	0
m0_msmq_importdata	m0	0	0	3	0
m0_nomor_next_failed	m0	0	0	3	1
m0_userlogerror	m0	0	0	3	0
m0_validitas_data	m0	0	0	3	1
m0_sentence_stranslate	m0	3034	0	2	0
m0_role_menu	m0	2172	0	2	0
m0_sentence_stranslate_copy1	m0	1948	0	2	0
m0_sentence_translate	m0	1359	0	2	0
m0_setting	m0	1023	0	2	0
m0_setting_s	m0	1017	0	2	0
m0_menu_s_lang	m0	546	0	2	0
m0_menu_lang	m0	423	0	2	0
m0_nomor_next	m0	234	0	2	0
m0_nomor	m0	137	0	2	0
m0_statistic	m0	77	0	2	1
m0_import_target	m0	44	0	2	0
m0_permissions_custom	m0	32	0	2	0
m0_role_custom	m0	24	0	2	0
m0_setting_grup	m0	22	0	2	0
m0_userlogin	m0	20	0	2	0
m0_module	m0	15	0	2	0
m0_group_rq	m0	14	0	2	0
m0_userlogin_copy	m0	12	0	2	0
m0_struk	m0	10	0	2	0
m0_backup	m0	0	0	2	1
m0_group_aq	m0	0	0	2	0
m0_nomor_mobile	m0	0	0	2	0
m0_setting_location	m0	0	0	2	0
m0_table_relation_status	m0	0	0	2	1
m0_sentence_s	m0	3320	0	1	0
m0_sentence_s_copy1	m0	3265	0	1	0
m0_sentence	m0	3060	0	1	0
