m14_ang	angstatussebelumnya	tinyint	tinyint	NO	status
m14_ang_detail	statusrealisasi	tinyint	tinyint	NO	status
m14_pjm	pjmstatusrealisasi	tinyint	tinyint	NO	status
m14_pjm	pjmstatus	tinyint	tinyint	NO	status
m14_pjm	pjmstatussebelumnya	tinyint	tinyint	NO	status
m14_pjm_detail	statusrealisasi	tinyint	tinyint	NO	status
m14_smp	smpstatusrealisasi	tinyint	tinyint	NO	status
m14_smp	smpstatus	tinyint	tinyint	NO	status
m14_smp	smpstatussebelumnya	tinyint	tinyint	NO	status
m14_smp_detail	statusrealisasi	tinyint	tinyint	NO	status
m1_contact	kkategorisalesman	varchar	varchar(25)	YES	actor
m1_contact	kkategorisalesmannama	varchar	varchar(100)	YES	actor
m1_contact	kkategoricustomer	varchar	varchar(25)	YES	actor
m1_contact	kkategoricustomernama	varchar	varchar(100)	YES	actor
m1_contact	kkategorisupplier	varchar	varchar(25)	YES	actor
m1_contact	kkategorisuppliernama	varchar	varchar(100)	YES	actor
m1_contact	ksalesman	bigint	bigint	YES	actor
m1_contact	ksalesmannama	varchar	varchar(100)	YES	actor
m1_contact	karea	varchar	varchar(25)	YES	location
m1_contact	kareanama	varchar	varchar(100)	YES	location
m1_contact_copy	kkategorisalesman	varchar	varchar(25)	YES	actor
m1_contact_copy	kkategorisalesmannama	varchar	varchar(100)	YES	actor
m1_contact_copy	kkategoricustomer	varchar	varchar(25)	YES	actor
m1_contact_copy	kkategoricustomernama	varchar	varchar(100)	YES	actor
m1_contact_copy	kkategorisupplier	varchar	varchar(25)	YES	actor
m1_contact_copy	kkategorisuppliernama	varchar	varchar(100)	YES	actor
m1_contact_copy	ksalesman	bigint	bigint	YES	actor
m1_contact_copy	ksalesmannama	varchar	varchar(100)	YES	actor
m1_contact_copy	karea	varchar	varchar(25)	YES	location
m1_contact_copy	kareanama	varchar	varchar(100)	YES	location
m1_contact_history	kkategorisalesman	varchar	varchar(25)	YES	actor
m1_contact_history	kkategorisalesmannama	varchar	varchar(100)	YES	actor
m1_contact_history	kkategoricustomer	varchar	varchar(25)	YES	actor
m1_contact_history	kkategoricustomernama	varchar	varchar(100)	YES	actor
m1_contact_history	kkategorisupplier	varchar	varchar(25)	YES	actor
m1_contact_history	kkategorisuppliernama	varchar	varchar(100)	YES	actor
m1_contact_history	ksalesman	bigint	bigint	YES	actor
m1_contact_history	ksalesmannama	varchar	varchar(100)	YES	actor
m1_contact_history	karea	varchar	varchar(25)	YES	location
m1_contact_history	kareanama	varchar	varchar(100)	YES	location
m1_item	bvendor	varchar	varchar(250)	YES	actor
m1_item	bstatusmoving	varchar	varchar(2)	YES	status
m1_item2	bvendor	varchar	varchar(250)	YES	actor
m1_item2	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_branch_costcenter	ibcbranch	varchar	varchar(25)	NO	location
m1_item_c	bvendor	varchar	varchar(250)	YES	actor
m1_item_c	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_copy1	bvendor	varchar	varchar(250)	YES	actor
m1_item_copy1	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_copy2	bvendor	varchar	varchar(250)	YES	actor
m1_item_copy2	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_flex	bvendor	varchar	varchar(250)	YES	actor
m1_item_flex	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_hauling	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_hauling	bastatus	int	int	NO	status
m1_item_hauling_history	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_hauling_history	bastatus	int	int	NO	status
m1_item_history	bvendor	varchar	varchar(250)	YES	actor
m1_item_history	bstatusmoving	varchar	varchar(2)	YES	status
m1_item_permission	ipretursupplier	tinyint	tinyint	NO	actor
m1_item_permission_history	ipretursupplier	tinyint	tinyint	NO	actor
m1_patient	pstatusperkawinan	tinyint	tinyint	YES	status
m1_project	pstatus	varchar	varchar(15)	YES	status
m1_project_history	pstatus	varchar	varchar(15)	YES	status
m1_salesman_category	scarea	varchar	varchar(25)	NO	location
m1_salesman_category_history	scarea	varchar	varchar(25)	NO	location
m2_aj	ajstatusbayar	tinyint	tinyint	NO	status
m2_aj	ajstatus	tinyint	tinyint	NO	status
m2_aj	ajstatussebelumnya	tinyint	tinyint	NO	status
m2_aj_history	ajstatusbayar	tinyint	tinyint	NO	status
m2_aj_history	ajstatus	tinyint	tinyint	NO	status
m2_aj_history	ajstatussebelumnya	tinyint	tinyint	NO	status
m2_bd	bdstatus	tinyint	tinyint	NO	status
m2_bd	bdstatussebelumnya	tinyint	tinyint	NO	status
m2_bd_history	bdstatus	tinyint	tinyint	NO	status
m2_bd_history	bdstatussebelumnya	tinyint	tinyint	NO	status
m2_cb	cbstatusbayar	tinyint	tinyint	NO	status
m2_cb	cbstatus	tinyint	tinyint	NO	status
m2_cb	cbstatussebelumnya	tinyint	tinyint	NO	status
m2_cb_history	cbstatusbayar	tinyint	tinyint	NO	status
m2_cb_history	cbstatus	tinyint	tinyint	NO	status
m2_cb_history	cbstatussebelumnya	tinyint	tinyint	NO	status
m2_cd	cdstatusbayar	tinyint	tinyint	NO	status
m2_cd	cdstatus	tinyint	tinyint	NO	status
m2_cd	cdstatussebelumnya	tinyint	tinyint	NO	status
m2_cd_history	cdstatusbayar	tinyint	tinyint	NO	status
m2_cd_history	cdstatus	tinyint	tinyint	NO	status
m2_cd_history	cdstatussebelumnya	tinyint	tinyint	NO	status
m2_cr	crstatusbayar	tinyint	tinyint	NO	status
m2_cr	crstatus	tinyint	tinyint	NO	status
m2_cr	crstatussebelumnya	tinyint	tinyint	NO	status
m2_cr_history	crstatusbayar	tinyint	tinyint	NO	status
m2_cr_history	crstatus	tinyint	tinyint	NO	status
m2_cr_history	crstatussebelumnya	tinyint	tinyint	NO	status
m2_giro_list	glstatus	tinyint	tinyint	NO	status
m2_giro_list	glstatussebelumnya	tinyint	tinyint	NO	status
m2_gj	gjstatusbayar	tinyint	tinyint	NO	status
m2_gj	gjstatus	tinyint	tinyint	NO	status
m2_gj	gjstatussebelumnya	tinyint	tinyint	NO	status
m2_gj_history	gjstatusbayar	tinyint	tinyint	NO	status
m2_gj_history	gjstatus	tinyint	tinyint	NO	status
