0_so	14	kurs	double	double	YES		
0_so	15	rate	double	double	YES		
0_so	16	keterangan	varchar	varchar(500)	YES		
0_so	17	noref	varchar	varchar(500)	YES		
0_so	18	tgljt	date	date	YES		
0_so	19	kodesalesman	varchar	varchar(255)	YES		
0_so	20	pajak	varchar	varchar(255)	YES		
0_so	21	jmlpajak	double	double	YES		
0_so	22	lokasi	varchar	varchar(255)	YES		
0_so_1	1	nourut	double	double	YES		
0_so_1	2	tgl	date	date	YES		
0_so_1	3	noso	varchar	varchar(500)	YES		
0_so_1	4	kodebarang	varchar	varchar(500)	YES		
0_so_1	5	namabarang	varchar	varchar(500)	YES		
0_so_1	6	kodecustomer	varchar	varchar(500)	YES		
0_so_1	7	namacustomer	varchar	varchar(500)	YES		
0_so_1	8	jml	double	double	YES		
0_so_1	9	satuan	varchar	varchar(500)	YES		
0_so_1	10	jmlrealisasi	double	double	YES		
0_so_1	11	status	varchar	varchar(500)	YES		
0_so_1	12	harga	double	double	YES		
0_so_1	13	matauang	varchar	varchar(500)	YES		
0_so_1	14	kurs	double	double	YES		
0_so_1	15	rate	double	double	YES		
0_so_1	16	keterangan	varchar	varchar(500)	YES		
0_so_1	17	noref	varchar	varchar(500)	YES		
0_so_1	18	tgljt	date	date	YES		
0_so_1	19	kodesalesman	varchar	varchar(255)	YES		
0_so_1	20	pajak	varchar	varchar(255)	YES		
0_so_1	21	jmlpajak	double	double	YES		
0_so_1	22	lokasi	varchar	varchar(255)	YES		
0_so_update	1	noso	varchar	varchar(255)	YES		
0_so_update	2	noref	varchar	varchar(255)	YES		
0_so_update	3	namacustomer	varchar	varchar(255)	YES		
0_so_update	4	kodecustomer	varchar	varchar(255)	YES		
0_so_update	5	kodesalesman	varchar	varchar(255)	YES		
0_so_update	6	kodebarang	varchar	varchar(255)	YES		
0_so_update	7	tgl	varchar	varchar(255)	YES		
0_so_update	8	tgljt	varchar	varchar(255)	YES		
0_so_update	9	qty	double	double	YES		
0_so_update	10	satuan	varchar	varchar(255)	YES		
0_so_update	11	matauang	varchar	varchar(255)	YES		
0_so_update	12	kurs	double	double	YES		
0_so_update	13	harga	double	double	YES		
0_so_update	14	pajak	double	double	YES		
0_stokapril2018	1	gudang	varchar	varchar(255)	YES		
0_stokapril2018	2	kodebarang	varchar	varchar(255)	YES		
0_stokapril2018	3	jml	double	double	YES		
0_stokapril2018	4	hpp	double	double	YES		
0_stokapril2018	5	urutan	int	int	YES		
0_stokfebruari2018	1	gudang	varchar	varchar(255)	YES		
0_stokfebruari2018	2	kodebarang	varchar	varchar(255)	YES		
0_stokfebruari2018	3	jml	double	double	YES		
0_stokfebruari2018	4	hpp	double	double	YES		
0_stokjanuari2018	1	gudang	varchar	varchar(255)	YES		
0_stokjanuari2018	2	kodebarang	varchar	varchar(255)	YES		
0_stokjanuari2018	3	jml	double	double	YES		
0_stokjanuari2018	4	hpp	double	double	YES		
0_stokmaret2018	1	gudang	varchar	varchar(255)	YES		
0_stokmaret2018	2	kodebarang	varchar	varchar(255)	YES		
0_stokmaret2018	3	jml	double	double	YES		
0_stokmaret2018	4	hpp	double	double	YES		
0_updatebarangjuni	1	kodebarang	varchar	varchar(255)	YES		
0_updatebarangjuni	2	tipe	varchar	varchar(255)	YES		
0_updatebarangjuni	3	jenis	varchar	varchar(255)	YES		
0_updatebarangjuni	4	persediaan	varchar	varchar(255)	YES		
0_updatebarangjuni	5	hpp	varchar	varchar(255)	YES		
0_updatebarangjuni	6	penjualan	varchar	varchar(255)	YES		
0_updatebarangjuni	7	returpenjualan	varchar	varchar(255)	YES		
0_updatebarangjuni	8	returpembelian	varchar	varchar(255)	YES		
0_updatebarangjuni	9	diskonpembelian	varchar	varchar(255)	YES		
0_updatebarangjuni	10	diskonpenjualan	varchar	varchar(255)	YES		
0_updatebarangjuni	11	konsinyasi	varchar	varchar(255)	YES		
0_updatehpp	1	kodebarang	varchar	varchar(255)	YES		
0_updatehpp	2	hppupdate	double	double	YES		
0_updatehpp	3	qty	double	double(255,0)	YES		
0_updatesupplier	1	kodekontak	varchar	varchar(255)	YES		
0_updatesupplier	2	namakontak	varchar	varchar(255)	YES		
0_updatesupplier	3	alamat	varchar	varchar(255)	YES		
0_updatesupplier	4	termin	varchar	varchar(255)	YES		
0_updatesupplier	5	jenis	varchar	varchar(255)	YES		
ak_tmp	1	kwtgl	date	date	NO		
ak_tmp	2	akid	bigint	bigint	NO		
ak_tmp	3	akcabang	varchar	varchar(25)	NO		
ak_tmp	4	aklokasi	varchar	varchar(25)	NO		
ak_tmp	5	akgudang	varchar	varchar(25)	NO		
ak_tmp	6	aksumber	varchar	varchar(10)	NO		
ak_tmp	7	akautonotransaksi	tinyint	tinyint	NO		
ak_tmp	8	aknotransaksi	varchar	varchar(50)	NO		
ak_tmp	9	aktgl	date	date	NO		
ak_tmp	10	akkodepa	bigint	bigint	NO		
ak_tmp	11	akcustomer	bigint	bigint	YES		
ak_tmp	12	akcustomerkontak	varchar	varchar(100)	YES		
ak_tmp	13	akuraian	varchar	varchar(250)	YES		
ak_tmp	14	akcatatan	varchar	varchar(250)	YES		
ak_tmp	15	aknoref	varchar	varchar(100)	YES		
ak_tmp	16	aktglnoref	date	date	NO		
ak_tmp	17	aktotaltransaksi	double	double	NO		
ak_tmp	18	akidkj	bigint	bigint	YES		
ak_tmp	19	akstatusrealisasi	tinyint	tinyint	NO		
ak_tmp	20	akstatus	tinyint	tinyint	NO		
ak_tmp	21	akstatussebelumnya	tinyint	tinyint	NO		
ak_tmp	22	akjmlrevisi	int	int	NO		
ak_tmp	23	akcetakanke	tinyint	tinyint	NO		
ak_tmp	24	akinputuser	bigint	bigint unsigned	NO		
ak_tmp	25	akinputtgl	timestamp	timestamp	NO		
ak_tmp	26	akmodifikasiuser	bigint	bigint unsigned	NO		
ak_tmp	27	akmodifikasitgl	timestamp	timestamp	NO		
ak_tmp	28	akisclose	tinyint	tinyint	NO		
ak_tmp	29	akcustomtext1	varchar	varchar(250)	YES		
ak_tmp	30	akcustomtext2	varchar	varchar(250)	YES		
ak_tmp	31	akcustomtext3	varchar	varchar(250)	YES		
ak_tmp	32	akcustomtext4	varchar	varchar(250)	YES		
ak_tmp	33	akcustomtext5	varchar	varchar(250)	YES		
ak_tmp	34	akcustomtext6	varchar	varchar(250)	YES		
ak_tmp	35	akcustomtext7	varchar	varchar(250)	YES		
ak_tmp	36	akcustomtext8	varchar	varchar(250)	YES		
ak_tmp	37	akcustomtext9	varchar	varchar(250)	YES		
ak_tmp	38	akcustomtext10	varchar	varchar(250)	YES		
ak_tmp	39	akcustomtext11	varchar	varchar(250)	YES		
ak_tmp	40	akcustomtext12	varchar	varchar(250)	YES		
ak_tmp	41	akcustomtext13	varchar	varchar(250)	YES		
ak_tmp	42	akcustomtext14	varchar	varchar(250)	YES		
ak_tmp	43	akcustomtext15	varchar	varchar(250)	YES		
ak_tmp	44	akcustomtext16	varchar	varchar(250)	YES		
ak_tmp	45	akcustomtext17	varchar	varchar(250)	YES		
ak_tmp	46	akcustomtext18	varchar	varchar(250)	YES		
ak_tmp	47	akcustomtext19	varchar	varchar(250)	YES		
ak_tmp	48	akcustomtext20	varchar	varchar(250)	YES		
ak_tmp	49	akcustomint1	int	int	NO		
ak_tmp	50	akcustomint2	int	int	NO		
ak_tmp	51	akcustomint3	int	int	NO		
ak_tmp	52	akcustomint4	int	int	NO		
ak_tmp	53	akcustomint5	int	int	NO		
ak_tmp	54	akcustomint6	int	int	NO		
ak_tmp	55	akcustomint7	int	int	NO		
ak_tmp	56	akcustomint8	int	int	NO		
ak_tmp	57	akcustomint9	int	int	NO		
ak_tmp	58	akcustomint10	int	int	NO		
ak_tmp	59	akcustomint11	int	int	NO		
ak_tmp	60	akcustomint12	int	int	NO		
ak_tmp	61	akcustomint13	int	int	NO		
ak_tmp	62	akcustomint14	int	int	NO		
ak_tmp	63	akcustomint15	int	int	NO		
ak_tmp	64	akcustomint16	int	int	NO		
ak_tmp	65	akcustomint17	int	int	NO		
ak_tmp	66	akcustomint18	int	int	NO		
ak_tmp	67	akcustomint19	int	int	NO		
ak_tmp	68	akcustomint20	int	int	NO		
ak_tmp	69	akcustomdbl1	double	double	NO		
ak_tmp	70	akcustomdbl2	double	double	NO		
ak_tmp	71	akcustomdbl3	double	double	NO		
ak_tmp	72	akcustomdbl4	double	double	NO		
ak_tmp	73	akcustomdbl5	double	double	NO		
ak_tmp	74	akcustomdbl6	double	double	NO		
ak_tmp	75	akcustomdbl7	double	double	NO		
ak_tmp	76	akcustomdbl8	double	double	NO		
ak_tmp	77	akcustomdbl9	double	double	NO		
ak_tmp	78	akcustomdbl10	double	double	NO		
ak_tmp	79	akcustomdbl11	double	double	NO		
